ConstituentCode_WithExchange,Constituent_Name_zh,Constituent_Name_en,Exchange
sh600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,sh
sh600008,首创股份,Beijing Capital Co Ltd,sh
sh600009,上海机场,Shanghai International Airport Co Ltd,sh
sh600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,sh
sh600011,华能国际,Huaneng Power International Inc,sh
sh600015,华夏银行,Hua Xia Bank Co Ltd,sh
sh600016,民生银行,China Minsheng Banking Corp Ltd,sh
sh600018,上港集团,Shanghai International Port (Group) Co Ltd,sh
sh600019,宝钢股份,Baoshan Iron &Steel Co Ltd,sh
sh600021,上海电力,Shanghai Electric Power Co Ltd,sh
sh600023,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd.",sh
sh600028,中国石化,China Petroleum & Chemical Corporation,sh
sh600029,南方航空,China Southern Airlines Co Ltd,sh
sh600030,中信证券,CITIC Securities Co Ltd,sh
sh600031,三一重工,Sany Heavy Industry Co Ltd,sh
sh600036,招商银行,China Merchants Bank Co Ltd,sh
sh600038,中直股份,"AVIC Helicopter Co.,Ltd.",sh
sh600048,保利地产,Poly Real Estate Group Co Ltd,sh
sh600050,中国联通,China United Network Communications Co Ltd,sh
sh600061,国投资本,"SDIC Capital Co., Ltd",sh
sh600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,sh
sh600068,葛洲坝,China Gezhouba Group Co Ltd,sh
sh600074,ST保千里,"Jiangsu Protruly Vision Technology Group Co., Ltd.",sh
sh600085,同仁堂,Beijing Tongrentang Co Ltd,sh
sh600089,特变电工,TBEA Co Ltd,sh
sh600100,同方股份,Tsinghua Tongfang Co Ltd,sh
sh600104,上汽集团,SAIC Motor Co Ltd,sh
sh600109,国金证券,Sinolink Securities Co. Ltd.,sh
sh600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",sh
sh600115,东方航空,China Eastern Airlines Corp Ltd,sh
sh600118,中国卫星,China Spacesat Co Ltd,sh
sh600153,建发股份,Xiamen C&D Inc,sh
sh600157,永泰能源,Wintime Energy Co Ltd,sh
sh600170,上海建工,Shanghai Construction Co Ltd,sh
sh600177,雅戈尔,Youngor Group Co Ltd,sh
sh600188,兖州煤业,Yanzhou Coal Mining Co Ltd,sh
sh600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,sh
sh600208,新湖中宝,Xinhu Zhongbao Co Ltd,sh
sh600219,南山铝业,"Shandong Nanshan Aluminium Co., Ltd.",sh
sh600221,海航控股,"Hainan Airlines Holding Co., Ltd.",sh
sh600233,圆通速递,"YTO Express Group Co.,Ltd.",sh
sh600271,航天信息,"Aisino Co.,Ltd",sh
sh600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,sh
sh600297,广汇汽车,"China Grand Automotive Services Co., Ltd.",sh
sh600309,万华化学,"Wanhua Chemical Group Co., Ltd.",sh
sh600332,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,sh
sh600340,华夏幸福,"China Fortune Land Development Co., Ltd.",sh
sh600352,浙江龙盛,Zhejiang Longsheng Group Co Ltd,sh
sh600362,江西铜业,Jiangxi Copper Co Ltd,sh
sh600369,西南证券,Southwest Securities Co Ltd,sh
sh600372,中航电子,"CHINA AVIONICS SYSTEMS CO.,LTD.",sh
sh600373,中文传媒,Chinese Universe Publishing And Media Co Ltd,sh
sh600376,首开股份,"Beijing Capital Development Co.,Ltd.",sh
sh600383,金地集团,Gemdale Corporation,sh
sh600390,五矿资本,Minmetals Capital Company Limited,sh
sh600406,国电南瑞,"NARI Technology Co., Ltd.",sh
sh600415,小商品城,Zhejiang China Commodities City Group Co Ltd,sh
sh600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,sh
sh600482,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",sh
sh600485,信威集团,"Beijing Xinwei Telecom Technology Group Co., Ltd.",sh
sh600489,中金黄金,Zhongjin Gold Co Ltd,sh
sh600498,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,sh
sh600518,康美药业,Kangmei Pharmaceutical Co Ltd,sh
sh600519,贵州茅台,Kweichow Moutai Co Ltd,sh
sh600522,中天科技,Jiangsu Zhongtian Technologies Co Ltd,sh
sh600535,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",sh
sh600547,山东黄金,Shandong Gold-Mining Co Ltd,sh
sh600549,厦门钨业,Xiamen Tungsten Co Ltd,sh
sh600570,恒生电子,Hundsun Technologies Inc.,sh
sh600583,海油工程,Offshore Oil Engineering Co Ltd,sh
sh600585,海螺水泥,Anhui Conch Cement Co Ltd,sh
sh600588,用友网络,"Yonyou Network Technology Co., Ltd.",sh
sh600606,绿地控股,Greenland Holdings Corporation Limited,sh
sh600637,东方明珠,"Shanghai Oriental Pearl Media Co., Ltd.",sh
sh600649,城投控股,"Shanghai Chengtou Holding Co., Ltd.",sh
sh600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",sh
sh600663,陆家嘴,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,sh
sh600674,川投能源,Sichuan Chuantou Energy Co Ltd,sh
sh600682,南京新百,Nanjing Xinjiekou Department Store Co Ltd,sh
sh600685,中船防务,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,sh
sh600688,上海石化,Sinopec Shanghai Petrochemical Co Ltd,sh
sh600690,青岛海尔,Qingdao Haier Co Ltd,sh
sh600703,三安光电,"Sanan Optoelectronics Co.,Ltd",sh
sh600704,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,sh
sh600705,中航资本,"AVIC CAPITAL CO.,LTD.",sh
sh600739,辽宁成大,Liaoning Cheng Da Co Ltd,sh
sh600741,华域汽车,HUAYU Automotive Systems Company Limited,sh
sh600795,国电电力,GD Power Development Co Ltd,sh
sh600804,鹏博士,"DR. PENG TELECOM&MEDIA GROUP CO., LTD.",sh
sh600816,安信信托,"Anxin Trust Co., Ltd",sh
sh600820,隧道股份,Shanghai Tunnel Engineering Co Ltd,sh
sh600827,百联股份,"Shanghai Bailian Group Co.,Ltd.",sh
sh600837,海通证券,Haitong Securities Company Limited,sh
sh600871,石化油服,Sinopec Oilfield Service Corporation,sh
sh600886,国投电力,"SDIC Power Holdings Co.,Ltd.",sh
sh600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,sh
sh600893,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,sh
sh600895,张江高科,Shanghai Zhangjiang Hi-tech Park Development Co Ltd,sh
sh600900,长江电力,China Yangtze Power Co Ltd,sh
sh600909,华安证券,"HUAAN SECURITIES CO., LTD.",sh
sh600919,江苏银行,"Bank of Jiangsu Co., Ltd",sh
sh600926,杭州银行,"BANK OF HANGZHOU CO., LTD",sh
sh600958,东方证券,ORIENT SECURITIES COMPANY LIMITED,sh
sh600959,江苏有线,Jiangsu Broadcasting Cable Information Network Corporation Limited,sh
sh600977,中国电影,"CHINA FILM CO., LTD.",sh
sh600999,招商证券,China Merchants Securities Co Ltd,sh
sh601006,大秦铁路,Daqin Railway Co Ltd,sh
sh601009,南京银行,Bank of Nanjing Co Ltd,sh
sh601012,隆基股份,"Longi Green Energy Technology Co., Ltd.",sh
sh601018,宁波港,Ningbo Port Co Ltd,sh
sh601021,春秋航空,"Spring Airlines Co., Ltd.",sh
sh601088,中国神华,China Shenhua Energy Co Ltd,sh
sh601099,太平洋,The Pacific Securities Co.Ltd,sh
sh601111,中国国航,Air China Ltd,sh
sh601117,中国化学,China National Chemical Engineering Co Ltd,sh
sh601118,海南橡胶,China Hainan Rubber Industry Group Co Ltd,sh
sh601155,新城控股,"Future Land Holdings Co., Ltd.",sh
sh601163,三角轮胎,"TRIANGLE TYRE CO., LTD.",sh
sh601166,兴业银行,Industrial Bank,sh
sh601169,北京银行,Bank of Beijing Co Ltd,sh
sh601186,中国铁建,China Railway Construction Co Ltd,sh
sh601198,东兴证券,"DONGXING SECURITIES CO., LTD.",sh
sh601211,国泰君安,"Guotai Junan Securities Co., Ltd.",sh
sh601212,白银有色,"Baiyin Nonferrous Group Co., Ltd.",sh
sh601216,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",sh
sh601225,陕西煤业,Shaanxi Coal Industry Company Limited,sh
sh601228,广州港,GUANGZHOU PORT COMPANY LIMITED,sh
sh601229,上海银行,"Bank of Shanghai Co., Ltd.",sh
sh601288,农业银行,Agricultural Bank of China Co Ltd,sh
sh601318,中国平安,Ping An Insurance (Group) Company of China Ltd,sh
sh601328,交通银行,Bank of Communications Co LTD,sh
sh601333,广深铁路,Guangshen Railway Company Limited,sh
sh601336,新华保险,New China Life Insurance Co Ltd,sh
sh601375,中原证券,"CENTRAL CHINA SECURITIES CO., LTD.",sh
sh601377,兴业证券,Industrial Securities Co Ltd,sh
sh601390,中国中铁,China Railway Group Limited,sh
sh601398,工商银行,Industrial and Commercial Bank of China Ltd,sh
sh601555,东吴证券,Soochow Securities Co Ltd,sh
sh601600,中国铝业,Aluminum Corporation of China Limited,sh
sh601601,中国太保,China Pacific Insurance (Group) Co Ltd,sh
sh601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",sh
sh601608,中信重工,"CITIC HEAVY INDUSTRIES CO., LTD.",sh
sh601611,中国核建,China Nuclear Engineering Corporation Limited,sh
sh601618,中国中冶,Metallurgical Corporation of China Co Ltd,sh
sh601628,中国人寿,China Life Insurance Company Limited,sh
sh601633,长城汽车,Great Wall Motor Co Ltd,sh
sh601668,中国建筑,China State Construction Engineering Co Ltd,sh
sh601669,中国电建,"Power Construction Corporation of China,Ltd",sh
sh601688,华泰证券,Huatai Securities Co Ltd,sh
sh601718,际华集团,Jihua Group Co Ltd,sh
sh601727,上海电气,Shanghai Electric Group Co Ltd,sh
sh601766,中国中车,CRRC Corporation Limited,sh
sh601788,光大证券,Everbright Securities Co Ltd,sh
sh601800,中国交建,China Communications Construction Company Limited,sh
sh601818,光大银行,China Everbright Bank Co Ltd,sh
sh601857,中国石油,PetroChina Co Ltd,sh
sh601866,中远海发,"COSCO SHIPPING Development Co.,Ltd.",sh
sh601872,招商轮船,"China Merchants Energy Shipping Co., Ltd.",sh
sh601877,正泰电器,Zhejiang Chint Electrics Co Ltd,sh
sh601878,浙商证券,"ZHESHANG SECURITIES CO., LTD.",sh
sh601881,中国银河,"China Galaxy Securities Co., Ltd.",sh
sh601888,中国国旅,China International Travel Service Co Ltd,sh
sh601898,中煤能源,China Coal Energy Co Ltd,sh
sh601899,紫金矿业,Zijin Mining Group Co Ltd,sh
sh601901,方正证券,Founder Securities Co Ltd,sh
sh601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",sh
sh601933,永辉超市,Yonghui Superstores Co Ltd,sh
sh601939,建设银行,China Construction Bank,sh
sh601958,金钼股份,Jinduicheng Molybdenum Co Ltd,sh
sh601966,玲珑轮胎,"Shandong Linglong Tyre Co., Ltd.",sh
sh601985,中国核电,"China National Nuclear Power Co.,Ltd.",sh
sh601988,中国银行,Bank of China Ltd,sh
sh601989,中国重工,China Shipbuilding Industry Co Ltd,sh
sh601991,大唐发电,"Datang International Power Generation Co.,Ltd.",sh
sh601992,金隅集团,BBMG Corporation,sh
sh601997,贵阳银行,"Bank of Guiyang Co.,Ltd.",sh
sh601998,中信银行,China Citic Bank Corporation Limited,sh
sh603160,汇顶科技,"Shenzhen Huiding Technology Co., Ltd.",sh
sh603799,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD.",sh
sh603833,欧派家居,Oppein Home Group Inc.,sh
sh603858,步长制药,"SHANDONG BUCHANG PHARMACEUTICALS CO., LTD.",sh
sh603993,洛阳钼业,"China Molybdenum Co., Ltd.",sh
sz000001,平安银行,"Ping An Bank Co., Ltd.",sz
sz000002,万科A,China Vanke Co Ltd,sz
sz000008,神州高铁,"China High-Speed Railway Technology Co., Ltd.",sz
sz000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,sz
sz000063,中兴通讯,ZTE Corporation,sz
sz000069,华侨城A,Shenzhen Overseas Chinese Town Co Ltd,sz
sz000100,TCL集团,TCL Corporation,sz
sz000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,sz
sz000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",sz
sz000333,美的集团,"Midea Group CO., LTD",sz
sz000338,潍柴动力,Wei Chai Power Co Ltd,sz
sz000402,金 融 街,Financial Street Holding Co Ltd,sz
sz000413,东旭光电,"Dongxu Optoelectronic Technology Co., Ltd.",sz
sz000415,渤海金控,"Bohai Financial Investment Holding Co.,Ltd.",sz
sz000423,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd,sz
sz000425,徐工机械,XCMG Construction Machinery Co Ltd,sz
sz000503,海虹控股,Searainbow Holding Corp,sz
sz000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",sz
sz000540,中天金融,Zhongtian Financial Group Company Limited,sz
sz000559,万向钱潮,Wanxiang Qianchao Co Ltd,sz
sz000568,泸州老窖,Luzhou Lao Jiao Co Ltd,sz
sz000623,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",sz
sz000625,长安汽车,Chongqing Changan Automobile Co Ltd,sz
sz000627,天茂集团,Hubei Biocause Pharmaceutical Co Ltd,sz
sz000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,sz
sz000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",sz
sz000671,阳光城,"Sunshine City Group Co., Ltd.",sz
sz000686,东北证券,Northeast Securities Co Ltd,sz
sz000709,河钢股份,HESTEEL COMPANY LIMITED,sz
sz000723,美锦能源,"Shanxi Meijin Energy Co.,Ltd.",sz
sz000725,京东方A,BOE Technology Group Co Ltd,sz
sz000728,国元证券,Guoyuan Securities Company Limited,sz
sz000738,航发控制,"AECC AERO-ENGINE CONTROL CO.,LTD.",sz
sz000750,国海证券,"Sealand Securities Co., Ltd.",sz
sz000768,中航飞机,"Avic Aircraft Co.,Ltd.",sz
sz000776,广发证券,"GF Securities Co., Ltd.",sz
sz000783,长江证券,Changjiang Securities Company Limited,sz
sz000792,盐湖股份,Qinghai Salt Lake Industry Co Ltd,sz
sz000826,启迪桑德,"TUS-SOUND ENVIRONMENTAL RESOURCES CO., LTD.",sz
sz000839,中信国安,CITIC Guoan Information Industry Co Ltd,sz
sz000858,五粮液,Wuliangye Yibin Co Ltd,sz
sz000876,新希望,"NEW HOPE LIUHE CO., LTD",sz
sz000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,sz
sz000898,鞍钢股份,Angang Steel Co Ltd,sz
sz000938,紫光股份,"Unisplendour Co., Ltd.",sz
sz000959,首钢股份,Beijing Shougang Co Ltd,sz
sz000961,中南建设,"Jiangsu Zhongnan Construction Group Co.,Ltd",sz
sz000963,华东医药,Huadong Medicine Co Ltd,sz
sz000983,西山煤电,Shanxi Xishan Coal And Electricity Power Co Ltd,sz
sz001979,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",sz
sz002007,华兰生物,Hualan Biological Engineering INC,sz
sz002008,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",sz
sz002024,苏宁易购,"SUNING.COM CO.,LTD.",sz
sz002027,分众传媒,"Focus Media Information Technology Co., Ltd.",sz
sz002044,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",sz
sz002065,东华软件,"DHC Software Co.,Ltd.",sz
sz002074,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD.",sz
sz002081,金螳螂,Suzhou Gold Mantis Construction Decoration Co Ltd,sz
sz002142,宁波银行,Bank of Ningbo Co Ltd,sz
sz002146,荣盛发展,Risesun Real Estate Development Co Ltd,sz
sz002153,石基信息,Beijing Shiji Information Technology Co Ltd,sz
sz002174,游族网络,"YOUZU Interactive CO., LTD.",sz
sz002202,金风科技,Xinjiang Goldwind Science & Technology Co Ltd,sz
sz002230,科大讯飞,"Iflytek Co.,Ltd.",sz
sz002236,大华股份,Zhejiang Dahua Technology Co Ltd,sz
sz002241,歌尔股份,GoerTek Inc,sz
sz002252,上海莱士,Shanghai RAAS Blood Products Co Ltd,sz
sz002292,奥飞娱乐,Alpha Group,sz
sz002294,信立泰,Shenzhen Salubris Pharmaceuticals Co Ltd,sz
sz002304,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,sz
sz002310,东方园林,Beijing Orient Landscape Co Ltd,sz
sz002352,顺丰控股,"S.F. Holding Co., Ltd.",sz
sz002385,大北农,Beijing Dabeinong Technology Group Co Ltd,sz
sz002411,必康股份,JiangSu Bicon Pharmaceutical Listed Company,sz
sz002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,sz
sz002424,贵州百灵,Guizhou Bailing Group Pharmaceutical Co Ltd,sz
sz002426,胜利精密,Suzhou Victory Precision Manufacture Co Ltd,sz
sz002450,康得新,"Kangde Xin Composite Material Group Co.,Ltd.",sz
sz002456,欧菲科技,"O-film Tech Co., Ltd.",sz
sz002460,赣锋锂业,Ganfeng Lithium Co Ltd,sz
sz002465,海格通信,Guangzhou Haige Communications Group Incorporated Company,sz
sz002466,天齐锂业,"Tianqi Lithium Industries, Inc.",sz
sz002468,申通快递,"STO Express Co.,Ltd.",sz
sz002470,金正大,"Kingenta Ecological Engineering Group Co., Ltd",sz
sz002475,立讯精密,"Luxshare Precision Industry Co., Ltd.",sz
sz002500,山西证券,Shanxi Securities Co Ltd,sz
sz002508,老板电器,Hangzhou Robam Appliances Co Ltd,sz
sz002555,三七互娱,"Wuhu Shunrong Sanqi Interactive Entertainment Network Technology Co.,Ltd.",sz
sz002558,巨人网络,"Giant Network Group Co., Ltd.",sz
sz002572,索菲亚,Suofeiya Home Collection Co Ltd,sz
sz002594,比亚迪,BYD Co Ltd,sz
sz002601,龙蟒佰利,"Lomon Billions Group Co., Ltd.",sz
sz002602,世纪华通,"ZHEJIANG CENTURY HUATONG GROUP CO., LTD",sz
sz002608,江苏国信,Jiangsu Guoxin Corporation Limited,sz
sz002624,完美世界,"Perfect World Co., Ltd.",sz
sz002673,西部证券,"WESTERN SECURITIES CO., LTD",sz
sz002714,牧原股份,"Muyuan Foodstuff Co., Ltd",sz
sz002736,国信证券,"GUOSEN SECURITIES CO., LTD.",sz
sz002739,万达电影,"WANDA FILM HOLDING CO., LTD",sz
sz002797,第一创业,"First Capital Securities Co., Ltd.",sz
sz002831,裕同科技,"ShenZhen YUTO Packaging Technology Co., Ltd.",sz
sz002839,张家港行,"Jiangsu Zhangjiagang Rural Commercial Bank Co., Ltd",sz
sz002841,视源股份,Guangzhou Shiyuan Electronic Technology Company Limited,sz
sz300003,乐普医疗,Lepu Medical Technology (Beijing) Co Ltd,sz
sz300015,爱尔眼科,Aier Eye Hospital Group Co Ltd,sz
sz300017,网宿科技,"Wangsu Science and Technology Co.,Ltd.",sz
sz300024,机器人,Siasun Robot & Automation Co Ltd,sz
sz300027,华谊兄弟,Huayi Brothers Media Co Ltd,sz
sz300033,同花顺,"Hithink Royalflush Information Network Co.,Ltd.",sz
sz300059,东方财富,East Money Information Co Ltd,sz
sz300070,碧水源,Beijing Originwater Technology Co Ltd,sz
sz300072,三聚环保,Beijing SJ Environmental Protection and New Material Co Ltd,sz
sz300122,智飞生物,Chongqing Zhifei Biological Products Co Ltd,sz
sz300124,汇川技术,Shenzhen Inovance Technology Co Ltd,sz
sz300136,信维通信,Shenzhen Sunway Communication Co Ltd,sz
sz300144,宋城演艺,"SONGCHENG PERFORMANCE DEVELOPMENT CO., LTD.",sz
sz300251,光线传媒,Beijing Enlight Media Co Ltd,sz
sz300315,掌趣科技,"OURPALM CO., LTD",sz
